<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,09/10/18,10:39,116770.0,116820.0,116760.0,116760.0,506
SPFB.RTS-12.18,1,09/10/18,10:40,116760.0,116830.0,116720.0,116730.0,635
SPFB.RTS-12.18,1,09/10/18,10:41,116730.0,116760.0,116670.0,116710.0,470
SPFB.RTS-12.18,1,09/10/18,10:42,116710.0,116780.0,116690.0,116700.0,600
SPFB.RTS-12.18,1,09/10/18,10:43,116700.0,116700.0,116480.0,116530.0,2332
SPFB.RTS-12.18,1,09/10/18,10:44,116530.0,116600.0,116530.0,116570.0,680
SPFB.RTS-12.18,1,09/10/18,10:45,116570.0,116590.0,116510.0,116570.0,663
SPFB.RTS-12.18,1,09/10/18,10:46,116570.0,116580.0,116530.0,116570.0,487
SPFB.RTS-12.18,1,09/10/18,10:47,116580.0,116580.0,116540.0,116560.0,177
SPFB.RTS-12.18,1,09/10/18,10:48,116560.0,116570.0,116540.0,116540.0,528
SPFB.RTS-12.18,1,09/10/18,10:49,116540.0,116540.0,116500.0,116510.0,459
SPFB.RTS-12.18,1,09/10/18,10:50,116510.0,116540.0,116460.0,116510.0,1033
SPFB.RTS-12.18,1,09/10/18,10:51,116510.0,116540.0,116500.0,116540.0,423
SPFB.RTS-12.18,1,09/10/18,10:52,116530.0,116580.0,116520.0,116580.0,351
SPFB.RTS-12.18,1,09/10/18,10:53,116570.0,116590.0,116500.0,116500.0,479
SPFB.RTS-12.18,1,09/10/18,10:54,116500.0,116570.0,116500.0,116570.0,442
SPFB.RTS-12.18,1,09/10/18,10:55,116570.0,116630.0,116550.0,116630.0,1103
SPFB.RTS-12.18,1,09/10/18,10:56,116630.0,116630.0,116520.0,116520.0,661
SPFB.RTS-12.18,1,09/10/18,10:57,116510.0,116550.0,116500.0,116520.0,595
SPFB.RTS-12.18,1,09/10/18,10:58,116520.0,116570.0,116510.0,116540.0,191
SPFB.RTS-12.18,1,09/10/18,10:59,116540.0,116580.0,116500.0,116500.0,286
SPFB.RTS-12.18,1,09/10/18,11:00,116520.0,116590.0,116520.0,116570.0,210
SPFB.RTS-12.18,1,09/10/18,11:01,116570.0,116640.0,116560.0,116560.0,708
SPFB.RTS-12.18,1,09/10/18,11:02,116560.0,116570.0,116370.0,116430.0,2050
SPFB.RTS-12.18,1,09/10/18,11:03,116450.0,116510.0,116410.0,116510.0,696
SPFB.RTS-12.18,1,09/10/18,11:04,116510.0,116530.0,116480.0,116520.0,266
SPFB.RTS-12.18,1,09/10/18,11:05,116510.0,116530.0,116490.0,116530.0,256
SPFB.RTS-12.18,1,09/10/18,11:06,116520.0,116530.0,116460.0,116490.0,305
SPFB.RTS-12.18,1,09/10/18,11:07,116500.0,116540.0,116480.0,116540.0,374
SPFB.RTS-12.18,1,09/10/18,11:08,116540.0,116580.0,116520.0,116570.0,624
SPFB.RTS-12.18,1,09/10/18,11:09,116570.0,116690.0,116550.0,116680.0,1247
SPFB.RTS-12.18,1,09/10/18,11:10,116680.0,116880.0,116680.0,116820.0,3574
SPFB.RTS-12.18,1,09/10/18,11:11,116820.0,116850.0,116770.0,116780.0,769
SPFB.RTS-12.18,1,09/10/18,11:12,116770.0,116790.0,116730.0,116770.0,676
SPFB.RTS-12.18,1,09/10/18,11:13,116770.0,116790.0,116730.0,116740.0,285
SPFB.RTS-12.18,1,09/10/18,11:14,116730.0,116740.0,116690.0,116700.0,545
SPFB.RTS-12.18,1,09/10/18,11:15,116710.0,116790.0,116710.0,116760.0,418
SPFB.RTS-12.18,1,09/10/18,11:16,116750.0,116790.0,116750.0,116770.0,541
SPFB.RTS-12.18,1,09/10/18,11:17,116760.0,116770.0,116720.0,116730.0,362
SPFB.RTS-12.18,1,09/10/18,11:18,116750.0,116760.0,116720.0,116740.0,266
SPFB.RTS-12.18,1,09/10/18,11:19,116730.0,116800.0,116730.0,116800.0,294
SPFB.RTS-12.18,1,09/10/18,11:20,116790.0,116810.0,116750.0,116760.0,553
SPFB.RTS-12.18,1,09/10/18,11:21,116750.0,116790.0,116730.0,116760.0,213
SPFB.RTS-12.18,1,09/10/18,11:22,116770.0,116780.0,116710.0,116730.0,384
SPFB.RTS-12.18,1,09/10/18,11:23,116740.0,116770.0,116740.0,116750.0,172
SPFB.RTS-12.18,1,09/10/18,11:24,116760.0,116810.0,116750.0,116800.0,443
SPFB.RTS-12.18,1,09/10/18,11:25,116800.0,116810.0,116760.0,116760.0,138
SPFB.RTS-12.18,1,09/10/18,11:26,116760.0,116770.0,116690.0,116720.0,459
SPFB.RTS-12.18,1,09/10/18,11:27,116720.0,116750.0,116620.0,116710.0,990
SPFB.RTS-12.18,1,09/10/18,11:28,116710.0,116740.0,116700.0,116720.0,127
SPFB.RTS-12.18,1,09/10/18,11:29,116730.0,116750.0,116640.0,116690.0,293
SPFB.RTS-12.18,1,09/10/18,11:30,116690.0,116720.0,116630.0,116640.0,370
SPFB.RTS-12.18,1,09/10/18,11:31,116630.0,116690.0,116570.0,116690.0,684
SPFB.RTS-12.18,1,09/10/18,11:32,116680.0,116720.0,116670.0,116690.0,219
SPFB.RTS-12.18,1,09/10/18,11:33,116700.0,116720.0,116670.0,116710.0,307
SPFB.RTS-12.18,1,09/10/18,11:34,116720.0,116740.0,116700.0,116710.0,311
SPFB.RTS-12.18,1,09/10/18,11:35,116720.0,116790.0,116720.0,116750.0,449
SPFB.RTS-12.18,1,09/10/18,11:36,116750.0,116780.0,116720.0,116770.0,263
SPFB.RTS-12.18,1,09/10/18,11:37,116790.0,116810.0,116770.0,116790.0,839
SPFB.RTS-12.18,1,09/10/18,11:38,116790.0,116810.0,116780.0,116790.0,370
SPFB.RTS-12.18,1,09/10/18,11:39,116790.0,116800.0,116710.0,116740.0,752
SPFB.RTS-12.18,1,09/10/18,11:40,116720.0,116760.0,116700.0,116750.0,207
SPFB.RTS-12.18,1,09/10/18,11:41,116750.0,116750.0,116690.0,116710.0,209
SPFB.RTS-12.18,1,09/10/18,11:42,116730.0,116730.0,116620.0,116620.0,463
SPFB.RTS-12.18,1,09/10/18,11:43,116620.0,116700.0,116620.0,116680.0,497
SPFB.RTS-12.18,1,09/10/18,11:44,116690.0,116710.0,116650.0,116710.0,222
SPFB.RTS-12.18,1,09/10/18,11:45,116720.0,116740.0,116690.0,116720.0,141
SPFB.RTS-12.18,1,09/10/18,11:46,116730.0,116780.0,116720.0,116750.0,309
SPFB.RTS-12.18,1,09/10/18,11:47,116770.0,116790.0,116740.0,116760.0,148
SPFB.RTS-12.18,1,09/10/18,11:48,116750.0,116770.0,116740.0,116760.0,175
SPFB.RTS-12.18,1,09/10/18,11:49,116750.0,116770.0,116750.0,116760.0,168
SPFB.RTS-12.18,1,09/10/18,11:50,116750.0,116800.0,116750.0,116800.0,217
SPFB.RTS-12.18,1,09/10/18,11:51,116800.0,116840.0,116790.0,116820.0,647
SPFB.RTS-12.18,1,09/10/18,11:52,116810.0,116820.0,116770.0,116770.0,191
SPFB.RTS-12.18,1,09/10/18,11:53,116770.0,116790.0,116740.0,116740.0,221
SPFB.RTS-12.18,1,09/10/18,11:54,116760.0,116810.0,116740.0,116800.0,276
SPFB.RTS-12.18,1,09/10/18,11:55,116800.0,116830.0,116780.0,116830.0,183
SPFB.RTS-12.18,1,09/10/18,11:56,116830.0,116990.0,116830.0,116970.0,3599
SPFB.RTS-12.18,1,09/10/18,11:57,116980.0,117030.0,116930.0,117000.0,1838
SPFB.RTS-12.18,1,09/10/18,11:58,117000.0,117010.0,116920.0,116930.0,523
SPFB.RTS-12.18,1,09/10/18,11:59,116930.0,116980.0,116920.0,116930.0,495
SPFB.RTS-12.18,1,09/10/18,12:00,116940.0,117010.0,116940.0,117010.0,675
SPFB.RTS-12.18,1,09/10/18,12:01,117010.0,117020.0,116920.0,116950.0,1211
SPFB.RTS-12.18,1,09/10/18,12:02,116950.0,117000.0,116930.0,116990.0,612
SPFB.RTS-12.18,1,09/10/18,12:03,116970.0,116970.0,116890.0,116920.0,578
SPFB.RTS-12.18,1,09/10/18,12:04,116930.0,116940.0,116900.0,116930.0,165
SPFB.RTS-12.18,1,09/10/18,12:05,116940.0,116940.0,116880.0,116890.0,254
SPFB.RTS-12.18,1,09/10/18,12:06,116890.0,116930.0,116880.0,116920.0,300
SPFB.RTS-12.18,1,09/10/18,12:07,116900.0,116910.0,116870.0,116880.0,150
SPFB.RTS-12.18,1,09/10/18,12:08,116880.0,116890.0,116850.0,116850.0,360
SPFB.RTS-12.18,1,09/10/18,12:09,116860.0,116870.0,116810.0,116860.0,784
SPFB.RTS-12.18,1,09/10/18,12:10,116860.0,116910.0,116840.0,116890.0,279
SPFB.RTS-12.18,1,09/10/18,12:11,116890.0,116950.0,116860.0,116930.0,677
SPFB.RTS-12.18,1,09/10/18,12:12,116940.0,116950.0,116850.0,116850.0,399
SPFB.RTS-12.18,1,09/10/18,12:13,116850.0,116880.0,116820.0,116850.0,587
SPFB.RTS-12.18,1,09/10/18,12:14,116860.0,116910.0,116860.0,116900.0,212
SPFB.RTS-12.18,1,09/10/18,12:15,116900.0,116950.0,116880.0,116930.0,1045
SPFB.RTS-12.18,1,09/10/18,12:16,116920.0,116930.0,116850.0,116910.0,561
SPFB.RTS-12.18,1,09/10/18,12:17,116900.0,116920.0,116880.0,116920.0,128
SPFB.RTS-12.18,1,09/10/18,12:18,116920.0,116920.0,116880.0,116880.0,218
SPFB.RTS-12.18,1,09/10/18,12:19,116870.0,116890.0,116850.0,116850.0,291
SPFB.RTS-12.18,1,09/10/18,12:20,116870.0,116890.0,116820.0,116840.0,645
SPFB.RTS-12.18,1,09/10/18,12:21,116820.0,116840.0,116670.0,116680.0,1617
SPFB.RTS-12.18,1,09/10/18,12:22,116680.0,116780.0,116680.0,116770.0,524
SPFB.RTS-12.18,1,09/10/18,12:23,116760.0,116770.0,116690.0,116720.0,363
SPFB.RTS-12.18,1,09/10/18,12:24,116700.0,116760.0,116700.0,116740.0,272
SPFB.RTS-12.18,1,09/10/18,12:25,116750.0,116770.0,116710.0,116730.0,442
SPFB.RTS-12.18,1,09/10/18,12:26,116740.0,116770.0,116710.0,116750.0,411
SPFB.RTS-12.18,1,09/10/18,12:27,116740.0,116750.0,116690.0,116690.0,224
SPFB.RTS-12.18,1,09/10/18,12:28,116700.0,116700.0,116550.0,116570.0,2558
SPFB.RTS-12.18,1,09/10/18,12:29,116570.0,116640.0,116560.0,116580.0,663
SPFB.RTS-12.18,1,09/10/18,12:30,116590.0,116600.0,116470.0,116510.0,1951
SPFB.RTS-12.18,1,09/10/18,12:31,116510.0,116540.0,116420.0,116520.0,1742
SPFB.RTS-12.18,1,09/10/18,12:32,116510.0,116530.0,116460.0,116480.0,669
SPFB.RTS-12.18,1,09/10/18,12:33,116490.0,116510.0,116440.0,116460.0,624
SPFB.RTS-12.18,1,09/10/18,12:34,116460.0,116520.0,116460.0,116470.0,521
SPFB.RTS-12.18,1,09/10/18,12:35,116490.0,116530.0,116490.0,116520.0,387
SPFB.RTS-12.18,1,09/10/18,12:36,116510.0,116540.0,116470.0,116470.0,558
SPFB.RTS-12.18,1,09/10/18,12:37,116470.0,116490.0,116410.0,116460.0,833
SPFB.RTS-12.18,1,09/10/18,12:38,116460.0,116500.0,116430.0,116460.0,604
SPFB.RTS-12.18,1,09/10/18,12:39,116470.0,116480.0,116380.0,116390.0,732
SPFB.RTS-12.18,1,09/10/18,12:40,116390.0,116410.0,116270.0,116380.0,2224
SPFB.RTS-12.18,1,09/10/18,12:41,116380.0,116400.0,116330.0,116390.0,815
SPFB.RTS-12.18,1,09/10/18,12:42,116400.0,116400.0,116310.0,116370.0,460
SPFB.RTS-12.18,1,09/10/18,12:43,116370.0,116390.0,116310.0,116380.0,334
SPFB.RTS-12.18,1,09/10/18,12:44,116380.0,116380.0,116340.0,116380.0,298
SPFB.RTS-12.18,1,09/10/18,12:45,116380.0,116430.0,116360.0,116420.0,751
SPFB.RTS-12.18,1,09/10/18,12:46,116410.0,116410.0,116320.0,116400.0,855
SPFB.RTS-12.18,1,09/10/18,12:47,116380.0,116410.0,116340.0,116400.0,451
SPFB.RTS-12.18,1,09/10/18,12:48,116400.0,116400.0,116280.0,116340.0,893
SPFB.RTS-12.18,1,09/10/18,12:49,116350.0,116360.0,116280.0,116300.0,426
SPFB.RTS-12.18,1,09/10/18,12:50,116300.0,116360.0,116300.0,116330.0,349
SPFB.RTS-12.18,1,09/10/18,12:51,116330.0,116430.0,116330.0,116400.0,577
SPFB.RTS-12.18,1,09/10/18,12:52,116410.0,116410.0,116360.0,116370.0,239
SPFB.RTS-12.18,1,09/10/18,12:53,116370.0,116400.0,116330.0,116360.0,213
SPFB.RTS-12.18,1,09/10/18,12:54,116380.0,116410.0,116330.0,116360.0,199
SPFB.RTS-12.18,1,09/10/18,12:55,116370.0,116400.0,116300.0,116310.0,532
SPFB.RTS-12.18,1,09/10/18,12:56,116310.0,116320.0,116140.0,116240.0,2786
SPFB.RTS-12.18,1,09/10/18,12:57,116240.0,116260.0,116160.0,116180.0,868
SPFB.RTS-12.18,1,09/10/18,12:58,116200.0,116200.0,116140.0,116190.0,514
SPFB.RTS-12.18,1,09/10/18,12:59,116180.0,116190.0,116120.0,116140.0,602
SPFB.RTS-12.18,1,09/10/18,13:00,116150.0,116180.0,116120.0,116170.0,482
SPFB.RTS-12.18,1,09/10/18,13:01,116180.0,116190.0,116050.0,116060.0,1833
SPFB.RTS-12.18,1,09/10/18,13:02,116070.0,116110.0,116000.0,116000.0,930
SPFB.RTS-12.18,1,09/10/18,13:03,116000.0,116050.0,115940.0,116040.0,2345
SPFB.RTS-12.18,1,09/10/18,13:04,116040.0,116090.0,116000.0,116080.0,847
SPFB.RTS-12.18,1,09/10/18,13:05,116070.0,116160.0,116070.0,116110.0,1367
SPFB.RTS-12.18,1,09/10/18,13:06,116110.0,116180.0,116100.0,116160.0,1091
SPFB.RTS-12.18,1,09/10/18,13:07,116160.0,116190.0,116140.0,116180.0,280
SPFB.RTS-12.18,1,09/10/18,13:08,116180.0,116180.0,116140.0,116150.0,357
SPFB.RTS-12.18,1,09/10/18,13:09,116150.0,116220.0,116150.0,116190.0,740
SPFB.RTS-12.18,1,09/10/18,13:10,116190.0,116270.0,116190.0,116250.0,565
SPFB.RTS-12.18,1,09/10/18,13:11,116250.0,116270.0,116140.0,116140.0,1071
SPFB.RTS-12.18,1,09/10/18,13:12,116150.0,116180.0,116100.0,116100.0,838
SPFB.RTS-12.18,1,09/10/18,13:13,116100.0,116180.0,116090.0,116180.0,393
SPFB.RTS-12.18,1,09/10/18,13:14,116180.0,116230.0,116160.0,116210.0,427
SPFB.RTS-12.18,1,09/10/18,13:15,116210.0,116240.0,116150.0,116160.0,296
SPFB.RTS-12.18,1,09/10/18,13:16,116170.0,116180.0,116090.0,116140.0,437
SPFB.RTS-12.18,1,09/10/18,13:17,116140.0,116170.0,116120.0,116140.0,133
SPFB.RTS-12.18,1,09/10/18,13:18,116130.0,116240.0,116090.0,116190.0,692
SPFB.RTS-12.18,1,09/10/18,13:19,116190.0,116240.0,116190.0,116220.0,503
SPFB.RTS-12.18,1,09/10/18,13:20,116220.0,116230.0,116180.0,116180.0,163
SPFB.RTS-12.18,1,09/10/18,13:21,116180.0,116180.0,116130.0,116140.0,123
SPFB.RTS-12.18,1,09/10/18,13:22,116140.0,116220.0,116140.0,116190.0,221
SPFB.RTS-12.18,1,09/10/18,13:23,116180.0,116220.0,116180.0,116220.0,193
SPFB.RTS-12.18,1,09/10/18,13:24,116210.0,116220.0,116180.0,116210.0,210
SPFB.RTS-12.18,1,09/10/18,13:25,116200.0,116200.0,116100.0,116100.0,282
